stock_code,expiry_date,strike_price,datetime,call_open,call_high,call_low,call_close,call_OI,call_volume,put_open,put_high,put_low,put_close,put_OI,put_volume
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:21:00,54.45,54.45,53.4,53.95,73425.0,275.0,593.3,593.3,593.3,593.3,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:22:00,53.95,53.95,52.75,53.3,73275.0,775.0,593.3,593.3,593.3,593.3,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:23:00,53.3,53.3,52.15,52.15,73275.0,1300.0,593.3,593.3,593.3,593.3,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:24:00,52.15,52.95,52.0,52.95,73275.0,375.0,593.3,593.3,593.3,593.3,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:25:00,52.95,52.95,51.1,51.1,73525.0,400.0,593.3,593.3,593.3,593.3,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:26:00,51.6,52.55,51.6,52.55,73525.0,500.0,593.3,593.3,593.3,593.3,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:27:00,52.55,52.75,52.5,52.75,73525.0,425.0,593.3,593.3,593.3,593.3,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:28:00,52.75,54.05,52.75,54.05,73350.0,1700.0,593.3,593.3,593.3,593.3,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:29:00,54.05,54.05,51.85,51.85,73350.0,4925.0,593.3,593.3,593.3,593.3,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:30:00,51.85,51.85,50.75,51.7,73350.0,1000.0,593.3,593.3,593.3,593.3,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:31:00,51.7,51.7,47.8,48.45,72525.0,7450.0,593.3,593.3,593.3,593.3,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:32:00,48.5,48.95,48.25,48.95,72525.0,1000.0,593.3,593.3,593.3,593.3,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:33:00,48.95,49.5,48.5,48.9,75725.0,3275.0,593.3,593.3,593.3,593.3,2875.0,0.0
